Event.Id,Event.Date,Country,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Injuries,Estimated.Total.Passengers,Serious.Fatal.Injury.Rate,Aircraft.Destroyed,Unique_Aircraft_Type
20180729X13510,2018-07-28,United States,Non-Fatal,destroyed,CESSNA,172,No,1.0,reciprocating,personal,0,1,0,0,vmc,1,1,1.0,1,CESSNA 172
20180729X13915,2018-07-28,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 172
20180729X14602,2018-07-28,United States,Non-Fatal,substantial,PIPER,PA28,No,1.0,reciprocating,personal,0,1,3,0,vmc,4,4,0.25,0,PIPER PA28
20180810X45019,2018-07-28,United Kingdom,,minor,BOEING,737,No,,,,0,0,0,0,,0,,,0,BOEING 737
20180729X10031,2018-07-29,United States,Fatal,substantial,AERONCA,7AC,No,1.0,reciprocating,personal,1,0,0,0,vmc,1,1,1.0,0,AERONCA 7AC
20180729X33542,2018-07-29,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,instructional,0,0,0,2,vmc,0,2,0.0,0,CESSNA 172
20180730X13619,2018-07-29,United States,Non-Fatal,substantial,PIPER,PA24,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,PIPER PA24
20180804X33111,2018-07-29,Brazil,Fatal,destroyed,BEECH,90,No,2.0,turbo prop,personal,1,0,6,0,,7,7,0.14285714285714285,1,BEECH 90
20180904X70853,2018-07-29,United States,Non-Fatal,substantial,PIPER,PA 12,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,PIPER PA 12
20180730X43312,2018-07-30,United States,Non-Fatal,substantial,LUSCOMBE,8,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,LUSCOMBE 8
20180731X41318,2018-07-30,United States,Fatal,destroyed,PIPER,PA60,No,2.0,reciprocating,personal,3,0,0,0,vmc,3,3,1.0,1,PIPER PA60
20180731X44941,2018-07-30,United States,Non-Fatal,substantial,BEECH,A36,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,BEECH A36
20180808X32218,2018-07-30,United States,Non-Fatal,substantial,AIR TRACTOR,AT502,No,1.0,turbo prop,aerial application,0,0,0,1,vmc,0,1,0.0,0,AIR TRACTOR AT502
20181003X40957,2018-07-30,Canada,Fatal,substantial,PIPER,PA28,No,1.0,,,1,0,0,1,,1,2,0.5,0,PIPER PA28
20180731X03141,2018-07-31,Mexico,Non-Fatal,destroyed,EMBRAER,ERJ190,No,,turbo fan,,0,26,16,60,,42,102,0.2549019607843137,1,EMBRAER ERJ190
20180816X41010,2018-07-31,United States,Non-Fatal,substantial,BOEING,757,No,2.0,turbo fan,,0,0,0,181,vmc,0,181,0.0,0,BOEING 757
20180801X55334,2018-08-01,United States,Non-Fatal,substantial,CESSNA,A185F,No,1.0,reciprocating,personal,0,0,0,4,vmc,0,4,0.0,0,CESSNA A185F
20180802X75952,2018-08-01,United States,Non-Fatal,substantial,BEECH,B300,No,2.0,turbo prop,business,0,0,0,6,vmc,0,6,0.0,0,BEECH B300
20180802X93214,2018-08-01,United States,Non-Fatal,substantial,CHAMPION,7GCBC,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,CHAMPION 7GCBC
20180803X54512,2018-08-01,Canada,Fatal,none,PIPER,PA-31,No,,,,2,0,0,0,,2,2,1.0,0,PIPER PA-31
20180803X55545,2018-08-01,Canada,Fatal,substantial,CESSNA,180,No,1.0,,,2,0,1,0,,3,3,0.6666666666666666,0,CESSNA 180
20180806X53930,2018-08-01,Czech Republic,,none,BOEING,737,No,2.0,turbo fan,,0,0,0,0,,0,,,0,BOEING 737
20180820X43249,2018-08-01,Mexico,Fatal,destroyed,PIPER,PA25,No,1.0,reciprocating,aerial application,1,0,0,0,vmc,1,1,1.0,1,PIPER PA25
20180804X43811,2018-08-02,United States,Non-Fatal,substantial,CESSNA,188,No,1.0,reciprocating,aerial application,0,0,0,1,vmc,0,1,0.0,0,CESSNA 188
20181003X20958,2018-08-02,France,,substantial,PIPER,PA28,No,1.0,,,0,0,0,0,,0,,,0,PIPER PA28
20180802X34004,2018-08-03,United States,Fatal,substantial,MOONEY,M20J,No,1.0,reciprocating,personal,2,0,0,0,vmc,2,2,1.0,0,MOONEY M20J
20180803X10115,2018-08-03,United States,Non-Fatal,substantial,BEECH,58,No,2.0,reciprocating,personal,0,0,0,3,vmc,0,3,0.0,0,BEECH 58
20180804X12319,2018-08-04,United States,Non-Fatal,substantial,CESSNA,140,No,1.0,reciprocating,personal,0,1,0,0,vmc,1,1,1.0,0,CESSNA 140
20180804X21915,2018-08-04,United States,Fatal,destroyed,CHAMPION,8GCBC,No,1.0,reciprocating,banner tow,2,0,0,0,vmc,2,2,1.0,1,CHAMPION 8GCBC
20180804X33640,2018-08-04,United States,Non-Fatal,substantial,CHAMPION,7GCAA,No,1.0,reciprocating,banner tow,0,1,0,0,vmc,1,1,1.0,0,CHAMPION 7GCAA
20180805X20630,2018-08-04,United States,Non-Fatal,substantial,BEECH,35,No,,reciprocating,personal,0,0,0,4,vmc,0,4,0.0,0,BEECH 35
20180805X20931,2018-08-04,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,personal,0,2,0,0,vmc,2,2,1.0,0,CESSNA 172
20180813X22031,2018-08-04,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 172
20180805X00700,2018-08-05,United States,Fatal,destroyed,CESSNA,414,No,2.0,reciprocating,business,5,0,0,0,vmc,5,5,1.0,1,CESSNA 414
20180805X21934,2018-08-05,United States,Non-Fatal,substantial,CHAMPION,7GCBC,No,1.0,reciprocating,personal,0,0,1,0,vmc,1,1,0.0,0,CHAMPION 7GCBC
20180805X60932,2018-08-05,United States,Fatal,substantial,DEHAVILLAND,DHC-2,No,1.0,reciprocating,,5,0,0,0,vmc,5,5,1.0,0,DEHAVILLAND DHC-2
20180805X93357,2018-08-05,United States,Non-Fatal,substantial,CESSNA,185,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 185
20180806X53448,2018-08-06,United States,Non-Fatal,substantial,CESSNA,120,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,CESSNA 120
20180806X74149,2018-08-06,United States,Non-Fatal,destroyed,CESSNA,A188,No,1.0,reciprocating,aerial application,0,1,0,0,vmc,1,1,1.0,1,CESSNA A188
20180807X84033,2018-08-06,France,Fatal,destroyed,CESSNA,172,No,1.0,reciprocating,,3,0,0,0,,3,3,1.0,1,CESSNA 172
20180808X32852,2018-08-06,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 172
20180810X31115,2018-08-07,United States,Non-Fatal,substantial,CESSNA,207,No,1.0,reciprocating,,0,0,0,1,vmc,0,1,0.0,0,CESSNA 207
20180823X95421,2018-08-08,Mauritania,Fatal,destroyed,AYRES,S2R,No,1.0,turbo prop,,1,0,0,0,,1,1,1.0,1,AYRES S2R
20180905X20152,2018-08-08,Pakistan,,none,BOEING,777,No,,,,0,0,0,0,,0,,,0,BOEING 777
20210921103921,2018-08-09,Turkey,,substantial,BOEING,787,No,,,,0,0,0,0,,0,,,0,BOEING 787
20180809X01035,2018-08-09,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,CESSNA 172
20180809X51217,2018-08-09,United States,Non-Fatal,substantial,CESSNA,T337,No,2.0,reciprocating,aerial observation,0,0,0,2,vmc,0,2,0.0,0,CESSNA T337
20180809X70910,2018-08-09,United States,Non-Fatal,substantial,PIPER,PA28,No,1.0,reciprocating,instructional,0,0,0,1,vmc,0,1,0.0,0,PIPER PA28
20180809X71140,2018-08-09,United States,Non-Fatal,substantial,CESSNA,R182,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA R182
20180810X43432,2018-08-09,United States,Non-Fatal,substantial,PIPER,PA18,No,1.0,reciprocating,other work use,0,0,0,1,vmc,0,1,0.0,0,PIPER PA18
20180810X85957,2018-08-09,Germany,Fatal,substantial,BEECH,58,No,,,,2,0,0,0,,2,2,1.0,0,BEECH 58
20180814X05738,2018-08-10,United States,Non-Fatal,substantial,CESSNA,U206,No,1.0,reciprocating,skydiving,0,0,0,6,vmc,0,6,0.0,0,CESSNA U206
20180814X72500,2018-08-10,United States,Non-Fatal,substantial,MAULE,MX7,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,MAULE MX7
20180811X51444,2018-08-11,United States,Fatal,substantial,MOONEY,M20K,No,1.0,reciprocating,personal,2,0,0,0,vmc,2,2,1.0,0,MOONEY M20K
20180812X92421,2018-08-11,United States,Fatal,destroyed,DEHAVILLAND,DHC8,No,2.0,turbo prop,,1,0,0,0,vmc,1,1,1.0,1,DEHAVILLAND DHC8
20180812X84602,2018-08-12,United States,Fatal,substantial,BEECH,A36TC,No,1.0,reciprocating,personal,1,0,0,0,vmc,1,1,1.0,0,BEECH A36TC
20180813X62834,2018-08-12,United States,Non-Fatal,substantial,PIPER,PA32R,No,1.0,reciprocating,personal,0,2,1,0,vmc,3,3,0.6666666666666666,0,PIPER PA32R
20180814X45821,2018-08-12,United States,Non-Fatal,substantial,CESSNA,185,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,CESSNA 185
20180818X55332,2018-08-12,United States,Non-Fatal,substantial,PIPER,PA18,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,PIPER PA18
20181003X24851,2018-08-12,Canada,Fatal,substantial,CESSNA,172,No,1.0,,,1,0,0,0,,1,1,1.0,0,CESSNA 172
20180813X02639,2018-08-13,United States,Fatal,substantial,CESSNA,525,No,,turbo fan,personal,1,0,0,0,vmc,1,1,1.0,0,CESSNA 525
20180814X45147,2018-08-13,United States,Non-Fatal,substantial,PIPER,J3C,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,PIPER J3C
20180827X22227,2018-08-13,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,aerial observation,0,0,3,0,vmc,3,3,0.0,0,CESSNA 172
20180905X90334,2018-08-13,United States,Non-Fatal,substantial,AIRBUS,A321-271N,No,2.0,turbo fan,,0,0,0,197,vmc,0,197,0.0,0,AIRBUS A321-271N
20180814X05609,2018-08-14,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,personal,0,0,1,0,vmc,1,1,0.0,0,CESSNA 172
20180814X13615,2018-08-14,United States,Non-Fatal,substantial,CESSNA,150,No,1.0,reciprocating,instructional,0,0,0,1,vmc,0,1,0.0,0,CESSNA 150
20180814X14134,2018-08-14,United States,Non-Fatal,substantial,AIR TRACTOR,AT802,No,1.0,turbo prop,public aircraft - local,0,0,1,0,,1,1,0.0,0,AIR TRACTOR AT802
20180814X90902,2018-08-14,United States,Non-Fatal,substantial,CESSNA,140,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,CESSNA 140
20180816X03552,2018-08-15,United States,Non-Fatal,substantial,PIPER,PA18,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,PIPER PA18
20180816X05046,2018-08-15,United States,Non-Fatal,substantial,AERO COMMANDER,S2R,No,,turbo prop,aerial application,0,1,0,0,vmc,1,1,1.0,0,AERO COMMANDER S2R
20180816X12400,2018-08-15,United States,Non-Fatal,substantial,CESSNA,180,No,1.0,reciprocating,,0,0,0,2,vmc,0,2,0.0,0,CESSNA 180
20180816X22836,2018-08-15,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,instructional,0,1,0,0,vmc,1,1,1.0,0,CESSNA 172
20180822X63135,2018-08-15,Australia,,none,BOEING,737,No,,,,0,0,0,0,,0,,,0,BOEING 737
20180816X11804,2018-08-16,United States,Non-Fatal,substantial,CESSNA,U206,No,1.0,reciprocating,,0,1,0,0,vmc,1,1,1.0,0,CESSNA U206
20180816X71632,2018-08-16,Philippines,,minor,BOEING,737,No,,,,0,0,0,0,,0,,,0,BOEING 737
20180816X93831,2018-08-16,United States,Non-Fatal,substantial,CESSNA,R172E,No,1.0,reciprocating,instructional,0,0,0,2,vmc,0,2,0.0,0,CESSNA R172E
20180816X32919,2018-08-17,United States,Fatal,substantial,CESSNA,172,No,1.0,reciprocating,personal,1,0,3,0,vmc,4,4,0.25,0,CESSNA 172
20180817X24219,2018-08-17,United States,Non-Fatal,substantial,CESSNA,140,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 140
20180820X35801,2018-08-17,United States,Non-Fatal,substantial,CESSNA,A188,No,,,aerial application,0,0,0,1,vmc,0,1,0.0,0,CESSNA A188
